epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.49084,1.09725,3.21755,1.31844,0.00333,1,0.21064,0.11892,0.99828,3.85212,1.1871,4e-05,4e-05,4e-05
2,10.3755,0.84253,2.85316,1.12982,0.00333,1,0.88786,0.72917,0.49697,3.25919,0.94096,9.802e-05,9.802e-05,9.802e-05
3,14.992,0.82502,2.52403,1.12433,0.00333,1,0.995,0.88908,0.4793,3.06297,0.90272,0.000153664,0.000153664,0.000153664
4,19.9728,0.86435,1.75074,1.09757,0.68978,1,0.995,0.91174,0.51873,2.86455,0.8905,0.000206932,0.000206932,0.000206932
5,25.058,0.81345,1.554,1.17684,1,0.63298,0.995,0.87873,0.61297,2.68448,0.9023,0.000257824,0.000257824,0.000257824
6,29.7257,0.59805,1.26522,0.94972,1,0.52497,0.995,0.83721,0.68055,2.6559,0.93657,0.00030634,0.00030634,0.00030634
7,34.4706,0.79578,1.33179,1.06083,0.95732,1,0.995,0.84554,0.65804,2.63301,0.92423,0.00035248,0.00035248,0.00035248
8,39.2507,0.73712,1.25286,0.99383,0.97094,1,0.995,0.85757,0.67883,2.62651,0.91885,0.000396244,0.000396244,0.000396244
9,44.0335,0.69603,1.50429,0.99834,1,0.74887,0.995,0.87053,0.60831,2.69769,0.87133,0.000437632,0.000437632,0.000437632
10,48.8316,0.53857,1.31051,0.93008,1,0.69056,0.995,0.87053,0.51577,2.67484,0.83965,0.000476644,0.000476644,0.000476644
11,53.752,0.70643,1.21305,1.04714,1,0.93728,0.995,0.93254,0.31005,2.52389,0.78108,0.00051328,0.00051328,0.00051328
12,58.4309,0.65023,1.15327,0.96428,0.93908,1,0.995,0.93254,0.31698,2.34182,0.77113,0.00054754,0.00054754,0.00054754
13,63.4187,0.54676,0.99347,0.88522,0.9764,1,0.995,0.94504,0.41263,1.98545,0.80242,0.000579424,0.000579424,0.000579424
14,68.7382,0.54991,0.89713,0.91291,0.97339,1,0.995,0.94504,0.36469,1.8518,0.79049,0.000608932,0.000608932,0.000608932
15,74.106,0.55497,0.88555,0.88033,0.98159,1,0.995,0.90166,0.39205,1.8575,0.80515,0.000636064,0.000636064,0.000636064
16,79.5087,0.54544,0.89248,0.9125,0.97434,1,0.995,0.90166,0.40723,1.98727,0.81327,0.00066082,0.00066082,0.00066082
17,84.8889,0.6279,0.95506,1.01026,0.96504,1,0.995,0.90166,0.48451,2.14011,0.8892,0.0006832,0.0006832,0.0006832
18,90.1442,0.65843,1.17149,1.05384,0.97592,1,0.995,0.9037,0.49883,2.03811,0.89435,0.000703204,0.000703204,0.000703204
19,95.0772,0.64669,1.00501,1.01055,0.99991,1,0.995,0.9037,0.47664,1.95048,0.8459,0.000720832,0.000720832,0.000720832
20,100.037,0.63317,0.95619,0.93396,1,0.99268,0.995,0.90166,0.47446,1.94276,0.81672,0.000736084,0.000736084,0.000736084
21,104.832,0.65336,0.93072,0.97747,0.98935,1,0.995,0.91382,0.48831,1.92079,0.82134,0.00074896,0.00074896,0.00074896
22,110.203,0.49649,0.85917,0.91187,0.97967,1,0.995,0.91382,0.45298,1.83575,0.81098,0.00075946,0.00075946,0.00075946
23,115.061,0.51458,0.91868,0.84819,0.95224,1,0.995,0.97003,0.38125,1.90802,0.79222,0.000767584,0.000767584,0.000767584
24,119.707,0.65109,1.03253,0.93384,0.95356,1,0.995,0.96378,0.33034,2.02437,0.78579,0.000773332,0.000773332,0.000773332
25,124.45,0.68786,1.09316,1.00385,0.98706,1,0.995,0.8767,0.45619,1.95263,0.8066,0.000776704,0.000776704,0.000776704
26,129.23,0.62309,1.36276,0.98509,0.9674,1,0.995,0.90166,0.50784,1.88684,0.83756,0.0007777,0.0007777,0.0007777
27,133.781,0.52856,0.86966,0.92976,0.98156,1,0.995,0.9037,0.49537,1.8151,0.82625,0.00077632,0.00077632,0.00077632
28,138.334,0.61547,0.97267,0.96753,0.98531,1,0.995,0.8955,0.46042,1.55866,0.81562,0.000772564,0.000772564,0.000772564
29,143.162,0.58743,0.9661,0.98768,0.98531,1,0.995,0.8955,0.46042,1.55866,0.81562,0.000766432,0.000766432,0.000766432
30,148.092,0.63393,0.94528,0.97275,0.98709,1,0.995,0.86428,0.44398,1.30712,0.80334,0.000757924,0.000757924,0.000757924
31,152.763,0.51995,0.89873,0.90667,0.98841,1,0.995,0.90132,0.43063,1.13583,0.79765,0.00074704,0.00074704,0.00074704
32,157.319,0.527,0.89222,0.90305,0.98861,1,0.995,0.90132,0.36611,1.12682,0.78805,0.00073378,0.00073378,0.00073378
33,162.04,0.58312,0.83908,0.95591,0.98861,1,0.995,0.90132,0.36611,1.12682,0.78805,0.000718144,0.000718144,0.000718144
34,167.285,0.58241,0.86289,0.97661,0.98848,1,0.995,0.93254,0.33671,1.03934,0.78798,0.0006932,0.0006932,0.0006932
35,172.4,0.39248,0.7469,0.82262,0.98798,1,0.995,0.93671,0.33931,1.02543,0.7911,0.0006536,0.0006536,0.0006536
36,177.735,0.63742,0.97532,0.99022,0.98737,1,0.995,0.82257,0.33899,1.14883,0.78345,0.000614,0.000614,0.000614
37,182.797,0.48741,0.83544,0.90666,0.98737,1,0.995,0.82257,0.33899,1.14883,0.78345,0.0005744,0.0005744,0.0005744
38,188.015,0.49511,0.77305,0.9413,0.98422,1,0.995,0.93671,0.31982,1.10714,0.77676,0.0005348,0.0005348,0.0005348
39,193.009,0.45244,0.81237,0.90308,0.96975,1,0.995,0.97003,0.33678,1.1163,0.7856,0.0004952,0.0004952,0.0004952
40,197.884,0.45021,0.73701,0.90496,0.93172,1,0.995,0.94506,0.39389,1.18956,0.80309,0.0004556,0.0004556,0.0004556
41,202.776,0.3456,0.94794,0.80952,0.93172,1,0.995,0.94506,0.39389,1.18956,0.80309,0.000416,0.000416,0.000416
42,207.741,0.387,0.97493,0.84118,0.90544,1,0.995,0.92007,0.41636,1.1923,0.80445,0.0003764,0.0003764,0.0003764
43,212.714,0.40468,0.97208,0.78109,0.92969,1,0.995,0.91382,0.41288,1.10367,0.80437,0.0003368,0.0003368,0.0003368
44,217.647,0.38193,0.85741,0.75291,0.95276,1,0.995,0.91382,0.38278,1.06675,0.80221,0.0002972,0.0002972,0.0002972
45,222.639,0.33448,0.86783,0.79837,0.95276,1,0.995,0.91382,0.38278,1.06675,0.80221,0.0002576,0.0002576,0.0002576
46,227.735,0.33117,0.8535,0.8205,0.96027,1,0.995,0.94504,0.3502,0.98717,0.79264,0.000218,0.000218,0.000218
47,232.786,0.32781,0.8871,0.84887,0.97342,1,0.995,0.8955,0.32533,0.93042,0.78446,0.0001784,0.0001784,0.0001784
