epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8285,1.05619,3.37854,1.23479,0.00333,1,0.41759,0.29677,0.97025,3.91914,1.15532,0.0001,0.0001,0.0001
2,24.3546,1.02917,2.50299,1.19166,1,0.27822,0.58527,0.43788,0.76111,3.36173,1.04811,0.000215644,0.000215644,0.000215644
3,35.4551,0.85226,1.79708,1.01374,0.95182,0.30769,0.58851,0.46844,0.80146,3.30474,1.01874,0.000326536,0.000326536,0.000326536
4,46.7114,0.87095,1.61059,1.04317,0.72421,0.76923,0.75279,0.60869,0.72551,3.25822,0.94516,0.000432676,0.000432676,0.000432676
5,57.8339,0.86551,1.62538,1.06131,1,0.45163,0.83312,0.72455,0.67967,3.16489,0.92609,0.000534064,0.000534064,0.000534064
6,68.9121,0.88567,1.42819,1.03208,1,0.56942,0.81502,0.64837,0.70289,3.06632,0.94925,0.0006307,0.0006307,0.0006307
7,79.9863,0.71887,1.33372,0.96521,1,0.528,0.81742,0.64345,0.8028,3.01225,0.9476,0.000722584,0.000722584,0.000722584
8,91.5391,0.84009,1.31465,0.97776,1,0.37599,0.79153,0.62307,0.73771,3.11179,0.94167,0.000809716,0.000809716,0.000809716
9,103.049,0.86682,1.31173,1.03308,1,0.15253,0.84658,0.61637,0.94004,3.17802,1.02337,0.000892096,0.000892096,0.000892096
10,114.101,0.80196,1.24369,1.02298,1,0.15187,0.78106,0.63463,0.7956,3.18247,0.96919,0.000969724,0.000969724,0.000969724
11,125.006,0.79868,1.41818,0.99551,1,0.22978,0.69901,0.5954,0.69593,3.05031,0.9432,0.0010426,0.0010426,0.0010426
12,135.803,0.78198,1.26171,0.99059,0.97293,0.84615,0.90944,0.70723,0.77677,2.54032,0.97889,0.00111072,0.00111072,0.00111072
13,146.472,0.7715,1.27363,0.98602,1,0.8414,0.92012,0.64788,0.94468,2.14819,1.03852,0.0011741,0.0011741,0.0011741
14,157.122,0.77434,1.21947,0.99922,0.91528,0.83211,0.92273,0.66413,0.94462,1.9695,1.03734,0.00123272,0.00123272,0.00123272
15,167.94,0.86809,1.22072,1.04274,0.83047,0.84615,0.89179,0.7103,0.83773,2.03192,0.98456,0.00128658,0.00128658,0.00128658
16,178.793,0.80155,1.14882,0.98144,0.84449,0.83618,0.8546,0.69565,0.6914,1.98983,0.94287,0.0013357,0.0013357,0.0013357
17,189.604,0.77825,1.2358,1.0022,0.76683,0.75964,0.71184,0.59205,0.76725,2.27479,1.00725,0.0013664,0.0013664,0.0013664
18,200.494,0.82441,1.16293,1.0298,0.97791,0.46154,0.53705,0.43969,0.75286,2.41048,1.00172,0.0013268,0.0013268,0.0013268
19,211.379,0.73072,1.06144,0.96581,0.90961,0.46154,0.58234,0.48072,0.85554,2.29043,1.06561,0.0012872,0.0012872,0.0012872
20,222.208,0.81995,1.07589,1.06645,0.85776,0.53846,0.59941,0.50314,0.89312,2.21085,1.0769,0.0012476,0.0012476,0.0012476
21,233.271,0.81138,1.03714,1.02314,0.78776,0.61538,0.60737,0.51186,0.85163,2.23336,1.09404,0.001208,0.001208,0.001208
22,244.295,0.71698,1.00513,0.96554,0.81447,0.76923,0.80212,0.64775,0.77034,1.92717,1.00902,0.0011684,0.0011684,0.0011684
23,255.309,0.72062,0.91798,0.96111,0.82499,0.84615,0.86421,0.70415,0.83788,1.66038,1.06287,0.0011288,0.0011288,0.0011288
24,266.522,0.72196,0.93422,0.96516,0.92286,0.92043,0.9378,0.74258,0.80757,1.27704,1.03771,0.0010892,0.0010892,0.0010892
25,277.698,0.7158,0.96165,0.92602,0.92239,0.91478,0.9211,0.74729,0.74065,1.3497,0.98786,0.0010496,0.0010496,0.0010496
26,289.243,0.67346,0.90254,0.94172,0.79643,0.90388,0.87556,0.67376,0.77769,1.54354,1.01202,0.00101,0.00101,0.00101
27,300.655,0.6824,0.90181,0.97247,0.81719,0.84615,0.88429,0.71236,0.72076,1.41054,0.99093,0.0009704,0.0009704,0.0009704
28,311.633,0.66346,0.85522,0.94807,0.81016,0.98557,0.94538,0.79415,0.71345,1.24121,0.9716,0.0009308,0.0009308,0.0009308
29,322.451,0.69466,0.83086,0.97251,0.86525,0.98859,0.97951,0.83525,0.70273,1.18543,0.96041,0.0008912,0.0008912,0.0008912
30,333.301,0.67772,0.78743,0.95804,0.99615,0.92308,0.99,0.8172,0.73037,1.0861,0.95405,0.0008516,0.0008516,0.0008516
31,344.028,0.66568,0.84523,0.95014,1,0.99481,0.995,0.82846,0.71433,1.00625,0.95234,0.000812,0.000812,0.000812
32,354.722,0.68214,0.86436,0.96016,0.99306,0.92308,0.99,0.84666,0.69719,0.94319,0.97087,0.0007724,0.0007724,0.0007724
33,365.374,0.62323,0.77907,0.9606,1,0.99482,0.995,0.83555,0.67369,0.92397,0.9751,0.0007328,0.0007328,0.0007328
34,375.921,0.60474,0.73601,0.93522,1,0.99354,0.995,0.82629,0.66857,0.86492,0.94948,0.0006932,0.0006932,0.0006932
35,386.548,0.59653,0.75859,0.93272,1,0.99266,0.995,0.84079,0.63801,0.86697,0.9242,0.0006536,0.0006536,0.0006536
36,397.279,0.631,0.74358,0.93928,1,0.99646,0.995,0.83287,0.59846,0.81852,0.90542,0.000614,0.000614,0.000614
37,407.918,0.62233,0.70223,0.91846,1,0.99961,0.995,0.83658,0.57453,0.79343,0.89422,0.0005744,0.0005744,0.0005744
38,419.011,0.65232,0.75897,0.94317,0.99821,1,0.995,0.85171,0.56457,0.77508,0.88517,0.0005348,0.0005348,0.0005348
39,430.374,0.57481,0.65859,0.88686,0.99663,1,0.995,0.85419,0.55728,0.79446,0.88149,0.0004952,0.0004952,0.0004952
40,441.227,0.52522,0.6363,0.87675,0.99605,1,0.995,0.87999,0.5753,0.7829,0.88628,0.0004556,0.0004556,0.0004556
41,452.759,0.49596,0.80859,0.83114,0.99704,1,0.995,0.87211,0.58631,0.79011,0.88707,0.000416,0.000416,0.000416
42,463.693,0.45017,0.74411,0.85839,0.92505,1,0.99,0.85716,0.57438,0.80644,0.88077,0.0003764,0.0003764,0.0003764
43,474.163,0.48494,0.77349,0.82819,0.92857,0.99998,0.99,0.85817,0.5732,0.81513,0.88118,0.0003368,0.0003368,0.0003368
44,484.687,0.45467,0.74841,0.80457,0.92695,1,0.99,0.83753,0.56342,0.78838,0.87671,0.0002972,0.0002972,0.0002972
45,495.173,0.42708,0.70325,0.83825,0.92476,1,0.99,0.84745,0.56545,0.76985,0.87786,0.0002576,0.0002576,0.0002576
46,505.555,0.43342,0.68786,0.80449,1,0.98963,0.995,0.8296,0.59304,0.78643,0.88793,0.000218,0.000218,0.000218
47,515.922,0.42475,0.64702,0.83482,1,0.9965,0.995,0.84836,0.59239,0.7813,0.88985,0.0001784,0.0001784,0.0001784
48,526.463,0.43287,0.66542,0.82923,0.99662,1,0.995,0.84326,0.5718,0.74678,0.88898,0.0001388,0.0001388,0.0001388
49,537.159,0.42589,0.64625,0.82304,0.99591,1,0.995,0.86245,0.56293,0.7345,0.88843,9.92e-05,9.92e-05,9.92e-05
50,547.726,0.38521,0.65879,0.83906,0.9956,1,0.995,0.86245,0.55385,0.71711,0.88674,5.96e-05,5.96e-05,5.96e-05
