epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62004,1.50238,3.93214,1.47791,0.00296,0.88889,0.15638,0.12405,0.90818,4.1047,1.15153,8e-05,8e-05,8e-05
2,18.383,0.99652,2.89022,1.10192,0.00333,1,0.49566,0.38951,0.76563,3.59452,0.96984,0.000176436,0.000176436,0.000176436
3,26.9602,0.91981,1.91844,1.07467,1,0.37803,0.65408,0.5571,0.74837,3.28401,0.9065,0.000268912,0.000268912,0.000268912
4,35.2775,0.88493,1.70936,1.01086,0.00333,1,0.62366,0.57355,0.75529,3.4748,0.9783,0.000357428,0.000357428,0.000357428
5,43.7114,0.78017,1.4975,0.97964,0.00333,1,0.5582,0.40778,0.8137,3.65205,1.06134,0.000441984,0.000441984,0.000441984
6,52.3756,0.7711,1.52139,1.0346,0.00259,0.77778,0.55673,0.48031,0.80433,3.68634,1.00867,0.00052258,0.00052258,0.00052258
7,61.0379,0.69313,1.28895,0.97642,1,0.43213,0.53844,0.49125,0.80038,3.61393,0.96524,0.000599216,0.000599216,0.000599216
8,69.7474,0.79892,1.38615,1.02424,1,0.44096,0.58486,0.51157,0.73936,3.57216,0.92785,0.000671892,0.000671892,0.000671892
9,78.2878,0.95487,1.34197,1.08057,1,0.20069,0.48162,0.4099,0.85705,3.54803,0.98453,0.000740608,0.000740608,0.000740608
10,86.6146,0.85883,1.41376,1.05023,0.89841,0.33333,0.44781,0.40278,0.80736,3.63762,1.00917,0.000805364,0.000805364,0.000805364
11,94.8508,0.78326,1.29125,1.0339,0.95115,0.33333,0.40718,0.35892,0.7969,3.41999,0.9933,0.00086616,0.00086616,0.00086616
12,103.068,0.86479,1.35095,1.0168,1,0.41654,0.57366,0.52409,0.85516,3.16021,0.99508,0.000922996,0.000922996,0.000922996
13,111.413,0.74609,1.33915,1.06518,1,0.43187,0.61501,0.54905,0.81867,2.99142,0.97753,0.000975872,0.000975872,0.000975872
14,119.659,0.78605,1.27584,0.99997,0.79493,0.55556,0.61985,0.5583,0.82229,2.79978,0.98192,0.00102479,0.00102479,0.00102479
15,128.163,0.79325,1.17565,1.00866,0.86931,0.77778,0.82813,0.73134,0.69236,2.63334,0.91727,0.00106974,0.00106974,0.00106974
16,136.512,0.73516,1.15844,0.94266,1,0.66137,0.84891,0.72813,0.88504,2.5083,1.00177,0.00111074,0.00111074,0.00111074
17,144.759,0.75762,1.20323,1.01514,1,0.55271,0.75549,0.63738,0.778,2.16357,0.98159,0.00114778,0.00114778,0.00114778
18,153.317,0.73597,1.11786,0.97777,0.78285,0.88889,0.89924,0.72874,0.73211,2.23527,0.95511,0.00118085,0.00118085,0.00118085
19,161.76,0.81062,1.14097,1.04518,0.88183,0.83238,0.94893,0.71559,0.76318,2.37594,0.97502,0.00120997,0.00120997,0.00120997
20,170.129,0.74957,1.22609,1.00216,0.99018,0.66667,0.786,0.6185,0.79141,2.21204,0.9909,0.00123512,0.00123512,0.00123512
21,178.312,0.84189,1.15668,1.01995,0.99137,0.66667,0.85145,0.71497,0.72299,1.98985,0.93358,0.001208,0.001208,0.001208
22,186.573,0.66999,0.93716,0.92141,0.88734,0.87648,0.91879,0.72195,0.70413,1.85456,0.92227,0.0011684,0.0011684,0.0011684
23,194.792,0.77095,1.22571,1.00969,0.7644,0.66667,0.77356,0.60734,0.71473,2.01451,0.93427,0.0011288,0.0011288,0.0011288
24,203.343,0.75016,1.04255,1.00359,0.91358,0.66667,0.75366,0.59366,0.75941,1.97565,0.93697,0.0010892,0.0010892,0.0010892
25,211.56,0.80618,1.02694,0.97915,0.83489,0.66667,0.77718,0.62616,0.70398,1.82267,0.90652,0.0010496,0.0010496,0.0010496
26,219.889,0.72899,0.98791,0.98488,0.79914,0.88889,0.83509,0.68454,0.713,1.60666,0.9155,0.00101,0.00101,0.00101
27,228.256,0.76617,0.98946,0.9972,0.85665,0.88889,0.90944,0.74816,0.676,1.45777,0.9077,0.0009704,0.0009704,0.0009704
28,236.594,0.66921,0.97668,0.95024,1,0.87201,0.9675,0.74354,0.83343,1.42229,1.02378,0.0009308,0.0009308,0.0009308
29,245.181,0.64881,0.91038,0.96026,0.88067,0.88889,0.96278,0.74286,0.7872,1.33704,0.97922,0.0008912,0.0008912,0.0008912
30,254.332,0.68711,0.96026,0.96333,1,0.8792,0.9675,0.79931,0.82678,1.40631,0.99511,0.0008516,0.0008516,0.0008516
31,263.553,0.66049,0.88232,0.93998,1,0.96355,0.995,0.77527,0.83343,1.34054,1.00281,0.000812,0.000812,0.000812
32,271.99,0.65842,0.82525,0.94095,0.9915,1,0.995,0.77527,0.7333,1.17114,0.96019,0.0007724,0.0007724,0.0007724
33,280.586,0.63665,0.85774,0.90864,0.99245,1,0.995,0.79029,0.66524,1.16948,0.92574,0.0007328,0.0007328,0.0007328
34,289.119,0.64543,0.86291,0.93942,0.99178,1,0.995,0.85541,0.56625,1.14575,0.87391,0.0006932,0.0006932,0.0006932
35,297.304,0.66293,0.87421,0.96311,0.99183,1,0.995,0.8422,0.52966,1.09707,0.85803,0.0006536,0.0006536,0.0006536
36,305.479,0.65864,0.83722,0.9608,0.99447,1,0.995,0.85175,0.5294,1.00751,0.85606,0.000614,0.000614,0.000614
37,313.727,0.54185,0.75556,0.92415,0.99398,1,0.995,0.82614,0.5307,0.95961,0.85828,0.0005744,0.0005744,0.0005744
38,321.886,0.61248,0.76671,0.94812,0.99385,1,0.995,0.86314,0.51067,0.93312,0.85337,0.0005348,0.0005348,0.0005348
39,330.024,0.60865,0.76567,0.96395,0.99424,1,0.995,0.87963,0.48236,0.8961,0.85068,0.0004952,0.0004952,0.0004952
40,338.128,0.65664,0.80344,0.94845,0.99502,1,0.995,0.85498,0.52657,0.87739,0.85975,0.0004556,0.0004556,0.0004556
41,346.234,0.48114,0.90388,0.84495,0.99517,1,0.995,0.844,0.53593,0.89477,0.86512,0.000416,0.000416,0.000416
42,354.511,0.46157,0.80628,0.81591,0.99476,1,0.995,0.83384,0.5412,0.89708,0.86775,0.0003764,0.0003764,0.0003764
43,362.535,0.45462,0.83645,0.8448,0.99354,1,0.995,0.85335,0.52681,0.92325,0.8749,0.0003368,0.0003368,0.0003368
44,370.664,0.43228,0.82993,0.84923,0.99375,1,0.995,0.84505,0.51515,0.90638,0.87715,0.0002972,0.0002972,0.0002972
45,379.011,0.45837,0.84687,0.82561,0.99416,1,0.995,0.85831,0.51871,0.88059,0.88261,0.0002576,0.0002576,0.0002576
46,387.487,0.42099,0.76278,0.82046,0.99431,1,0.995,0.86929,0.52507,0.85153,0.88883,0.000218,0.000218,0.000218
47,395.731,0.42669,0.76811,0.83088,0.99433,1,0.995,0.84833,0.53562,0.85241,0.89293,0.0001784,0.0001784,0.0001784
48,404.066,0.40572,0.76661,0.82715,0.99422,1,0.995,0.85007,0.53735,0.82948,0.89351,0.0001388,0.0001388,0.0001388
49,412.201,0.39181,0.75279,0.79432,0.99421,1,0.995,0.85754,0.53265,0.82905,0.8911,9.92e-05,9.92e-05,9.92e-05
50,420.495,0.39447,0.71213,0.81905,0.99413,1,0.995,0.85754,0.52803,0.82872,0.88855,5.96e-05,5.96e-05,5.96e-05
