epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.382,1.19756,3.4817,1.34389,0.00333,1,0.21866,0.18864,0.82788,3.86454,1.12311,8e-05,8e-05,8e-05
2,19.8345,0.91518,2.91775,1.1812,0.00333,1,0.50416,0.44055,0.71664,3.58374,1.02017,0.000176436,0.000176436,0.000176436
3,28.1159,0.89777,1.98926,1.07893,0.82176,0.375,0.60221,0.5111,0.74136,3.30198,0.97067,0.000268912,0.000268912,0.000268912
4,36.332,0.86392,1.78536,0.97716,1,0.48049,0.78931,0.60394,0.77381,3.11849,0.96885,0.000357428,0.000357428,0.000357428
5,44.7312,0.88984,1.63869,1.01373,1,0.61796,0.75418,0.61504,0.81912,3.18016,0.95251,0.000441984,0.000441984,0.000441984
6,53.2924,0.92988,1.53503,1.10611,1,0.51027,0.7471,0.64812,0.67459,3.19295,0.88456,0.00052258,0.00052258,0.00052258
7,61.9962,0.8063,1.38403,0.99328,1,0.38623,0.74674,0.64691,0.64065,3.26041,0.89007,0.000599216,0.000599216,0.000599216
8,70.9535,0.88897,1.42339,1.11554,1,0.24436,0.74682,0.59178,0.71337,3.58689,0.94983,0.000671892,0.000671892,0.000671892
9,80.0136,0.72265,1.32104,0.9789,1,0.24424,0.74491,0.56522,0.72949,3.62526,1.02308,0.000740608,0.000740608,0.000740608
10,88.8934,0.70486,1.18502,0.95862,0.39574,0.625,0.63376,0.57441,0.73824,3.48989,0.93386,0.000805364,0.000805364,0.000805364
11,98.0677,0.83694,1.27166,1.00583,0.64736,0.125,0.21312,0.18625,0.79493,3.58359,0.98137,0.00086616,0.00086616,0.00086616
12,108.053,0.76277,1.25185,0.9862,0.98194,0.375,0.38238,0.34773,0.71212,3.33651,0.9819,0.000922996,0.000922996,0.000922996
13,117.543,0.73715,1.09385,0.97208,1,0.36944,0.38555,0.33334,0.82187,3.39863,1.00989,0.000975872,0.000975872,0.000975872
14,126.064,0.78017,1.28253,1.00325,0.19952,0.25,0.09122,0.07777,0.86233,3.79527,1.0095,0.00102479,0.00102479,0.00102479
15,134.968,0.75458,1.30442,0.98467,0.64241,0.45453,0.58269,0.44895,0.89668,3.10045,1.04068,0.00106974,0.00106974,0.00106974
16,143.908,0.91532,1.27306,1.0361,0.90336,0.625,0.78941,0.60966,0.88122,2.86073,1.00566,0.00111074,0.00111074,0.00111074
17,153.715,0.77362,1.22826,0.96019,0.98245,0.5,0.71575,0.54278,0.80895,2.28479,0.98842,0.00114778,0.00114778,0.00114778
18,163.598,0.79985,1.07074,0.94993,0.97108,0.5,0.62934,0.54865,0.82109,2.25026,0.93809,0.00118085,0.00118085,0.00118085
19,173.141,0.77688,1.11712,0.95644,0.77948,0.5,0.56873,0.48492,0.7677,2.44655,0.94036,0.00120997,0.00120997,0.00120997
20,181.743,0.73223,1.01572,0.95867,0.49248,0.5,0.48676,0.39758,0.858,2.63148,0.96992,0.00123512,0.00123512,0.00123512
21,190.445,0.72311,0.96666,0.96004,0.61671,0.60565,0.51902,0.46169,0.84713,2.57398,0.96458,0.001208,0.001208,0.001208
22,199.188,0.76166,1.05817,1.02052,0.9691,0.5,0.65471,0.55069,0.79091,2.39078,0.93452,0.0011684,0.0011684,0.0011684
23,207.66,0.71363,0.9689,0.94272,0.99049,0.625,0.71432,0.65016,0.68318,2.24451,0.87559,0.0011288,0.0011288,0.0011288
24,216.243,0.71195,1.01144,0.93162,0.80423,0.625,0.64332,0.58316,0.7158,2.7033,0.90122,0.0010892,0.0010892,0.0010892
25,224.659,0.72353,0.96264,0.96708,0.57792,0.875,0.74336,0.66239,0.73123,2.28173,0.91571,0.0010496,0.0010496,0.0010496
26,233.284,0.65955,0.89284,0.92373,1,0.72394,0.85432,0.74961,0.76926,1.82381,0.94118,0.00101,0.00101,0.00101
27,241.839,0.69398,0.89873,0.95933,0.98439,0.75,0.86002,0.79476,0.70059,1.73714,0.93098,0.0009704,0.0009704,0.0009704
28,250.337,0.71006,1.02386,0.95629,0.88397,1,0.96722,0.80315,0.78479,1.47916,0.95929,0.0009308,0.0009308,0.0009308
29,259.105,0.67736,0.86561,0.95164,0.9977,1,0.995,0.77652,0.74539,1.21499,0.94903,0.0008912,0.0008912,0.0008912
30,267.682,0.6861,0.86488,0.98147,0.99275,1,0.995,0.80661,0.75361,1.13022,0.9579,0.0008516,0.0008516,0.0008516
31,276.421,0.68889,0.91775,0.99281,0.98872,1,0.995,0.77924,0.73457,1.10921,0.95858,0.000812,0.000812,0.000812
32,285.111,0.60714,0.80872,0.90792,0.99055,1,0.995,0.74211,0.81602,1.38005,0.99276,0.0007724,0.0007724,0.0007724
33,293.752,0.68913,0.85011,0.9672,0.88263,1,0.96722,0.62982,0.88197,1.55844,1.0193,0.0007328,0.0007328,0.0007328
34,302.361,0.69818,0.89157,0.93245,0.79595,1,0.89933,0.71685,0.8741,1.57294,1.02083,0.0006932,0.0006932,0.0006932
35,311.057,0.6535,0.83126,0.94901,1,0.99686,0.995,0.76546,0.75002,1.33624,0.96362,0.0006536,0.0006536,0.0006536
36,319.689,0.6157,0.74846,0.92232,0.99771,1,0.995,0.82758,0.64745,0.94818,0.91873,0.000614,0.000614,0.000614
37,328.156,0.60643,0.78024,0.93767,0.99534,1,0.995,0.83809,0.61302,0.92691,0.90821,0.0005744,0.0005744,0.0005744
38,336.497,0.61241,0.73284,0.91559,0.99523,1,0.995,0.83809,0.58505,0.89048,0.89156,0.0005348,0.0005348,0.0005348
39,344.881,0.60899,0.69556,0.91887,0.99538,1,0.995,0.86742,0.57492,0.89435,0.87877,0.0004952,0.0004952,0.0004952
40,353.255,0.60982,0.80689,0.95211,0.99536,1,0.995,0.86543,0.55138,0.8719,0.87414,0.0004556,0.0004556,0.0004556
41,361.567,0.48703,0.88125,0.86159,0.99656,1,0.995,0.86543,0.54973,0.86373,0.87547,0.000416,0.000416,0.000416
42,369.888,0.4568,0.83155,0.82172,0.99954,1,0.995,0.83822,0.55694,0.88583,0.88043,0.0003764,0.0003764,0.0003764
43,378.027,0.48671,0.85291,0.81757,1,0.99929,0.995,0.83994,0.57341,0.91087,0.8854,0.0003368,0.0003368,0.0003368
44,386.248,0.49889,0.89142,0.81747,0.99688,1,0.995,0.86313,0.55803,0.88404,0.88934,0.0002972,0.0002972,0.0002972
