epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.28942,1.2625,3.57279,1.41133,0.00333,1,0.14214,0.05917,1.37106,3.12052,1.13059,4e-05,4e-05,4e-05
2,2.67956,0.88109,3.02044,1.23451,0.00333,1,0.64133,0.52569,0.5745,2.85194,0.77025,9.802e-05,9.802e-05,9.802e-05
3,3.12175,0.72375,2.78303,1.06195,0.00333,1,0.995,0.84636,0.47606,2.72933,0.71018,0.000153664,0.000153664,0.000153664
4,3.561,0.92984,1.76714,1.21386,0.00966,1,0.995,0.77982,0.81475,2.35958,0.74576,0.000206932,0.000206932,0.000206932
5,3.98859,0.599,1.19887,0.95486,0.88075,1,0.995,0.85154,0.55155,2.03515,0.68073,0.000257824,0.000257824,0.000257824
6,4.4054,0.58503,1.11157,0.9483,0.96146,1,0.995,0.84037,0.54655,2.10254,0.6425,0.00030634,0.00030634,0.00030634
7,4.82007,0.67003,1.13123,0.98941,0.86376,0.66667,0.9125,0.78845,0.69688,2.49917,0.72084,0.00035248,0.00035248,0.00035248
8,5.19328,0.71608,1.1287,0.98398,0.90214,0.66667,0.9125,0.78845,0.65731,2.46331,0.71333,0.000396244,0.000396244,0.000396244
9,5.58641,0.68448,1.11233,0.99825,1,0.62487,0.9125,0.47148,1.08283,2.88502,1.00135,0.000437632,0.000437632,0.000437632
10,5.95458,0.65366,1.11513,0.89083,0.53038,0.33333,0.753,0.38658,1.12091,2.89509,0.96933,0.000476644,0.000476644,0.000476644
11,6.36175,0.55786,1.19763,0.90349,1,0.92071,0.995,0.72437,0.72254,2.28659,0.68624,0.00051328,0.00051328,0.00051328
12,6.7583,0.81099,1.22634,1.15048,1,0.93054,0.995,0.76361,0.70482,2.22704,0.71062,0.00054754,0.00054754,0.00054754
13,7.17737,0.64555,1.20772,0.93179,0.93684,0.66667,0.9125,0.77182,0.5992,2.15857,0.77679,0.000579424,0.000579424,0.000579424
14,7.58034,0.74194,1.21337,1.03767,0.95125,0.66667,0.9125,0.78065,0.64989,2.3479,0.8017,0.000608932,0.000608932,0.000608932
15,7.99537,0.62444,0.99938,0.95838,0.91488,0.66667,0.9125,0.85479,0.58419,2.52834,0.77193,0.000636064,0.000636064,0.000636064
16,8.41038,0.65435,0.99186,0.93607,0.91481,0.66667,0.9125,0.7229,0.50663,2.6421,0.80971,0.00066082,0.00066082,0.00066082
